Am I supposed to ride my bike on the sidewalk?,Unless you are a child no. Bicycles follow the rules of the road - including lights and stop signs. Bike close to the shoulder in the direction of traffic and use hand signals. Cyclists are allowed full use of the lane. At night and at dawn and dusk use bike lights. White for the front red for the back (like a car). You are not as visible as you think you are even if your bike has reflectors.
Can I bring my dog into your shop?,If your pooch is up-to-date with shots well potty trained and dog and kid-friendly then yes! We love dogs at the shop and Max is always up for making a new friend.
Can I test ride bikes?,Of course! We encourage you to test ride as many bikes as it takes to make up your mind. Check out our website or app to schedule a demo a bike for a longer period.
Can you ship my bike?,We ship all the time! Moving? Have your bike shipped here for assembly or let us take care of boxing your bike up with love and care and it'll be ready for you at your new destination. Stop in or give us a call and we will gladly estimate shipping costs.
Do I need to replace my helmet?,If you have crashed the helmet or if it is older than 4 years it really should be replaced. The material degrades over time especially if stored in sunlight and helmets are only designed to withstand impact once.
Do you buy bikes?,Occasionally we do purchase bikes in good condition and originally purchased at a bicycle shop. You will need to bring the bicycle by in person and present a valid photo ID and/or proof of purchase.
Do you do special orders?,Yes we can have some items as soon as next day but usually within 3-5 days.
Do you match prices?,We do our very best to keep our prices fair. If you find something for a better deal somewhere else talk to us we'll see what we can do.
Do you rent bikes?,Yes check out our website or app or give us a call to ask what we have available.
Do you rent your space for special events?,Yup! Contact us with details of your special event we'll do our best to make it super awesome!
Do you sell x brand?,Check out what brands we carry on our website or app. If you don't see something on the list talk to us it might be something we don't regularly stock but can definitely get our hands on for you.
Do you sell E-bikes?,We sell Electric bikes. We also can outfit your existing bike with a retrofit Bionx electric wheel kit. We do not do gas powered conversions.
Do you sell used bikes?,Yes indeed! Check out our website or app for details.
Do you take trade-ins?,Yes we do! If you have a bike shop quality bike sitting at home that you don't ride we'd gladly look it over and let you know what it'd be worth as a trade-in. Usually trade-ins are worth more than a straight bike purchase and can vary depending on what new bike you're trading up for.
Does Mello Velo do donations for events and charities?,We love giving back to the local charities and non-profit organizations that help improve our community. Send us an email with details. We do get a large volume of requests but we will email you back if we are able to contribute.
How do I know what size tire/tube I need?,Check the side of your tire. The tire will be imprinted with a set of numbers indicating the wheel size and tire width. Your tube size corresponds with the outer tire size.
How long does it take to repair my bike?,Basic repairs like a flat tire fix can usually be done while you wait. Tune-ups get put in our workorder queue in the order they come in. Most tune-ups take 3-5 days but can take longer if we need to special order parts. We will give you a time estimate when you bring your bike in.
How much does it cost to repair x on my bike?,That's a tough question! We really can only give you an accurate estimate when we can touch see and feel the bike in person! We will do our best to give you a repair estimate price range over the phone based on what you describe but seriously just stop by. Estimates are free. Check out our service menu here.
How often do I need to lubricate my chain?,Again depends on how many miles you put on your bike in what conditions you usually ride and how well you do your own basic maintenance. If you ride in rainy wet road weather you could lube your chain everyday. If you can see it's dry if there's a bit of corrosion some stuck links or you hear an excessive mechanical sound chances are it could use a lube. Only use lubrication specially formulated for bicycle chains please!
How often should I get a tune-up?,Depends on how many miles you put on your bike in what conditions you usually ride and how well you do your own basic maintenance. For most people we recommend at least a Tune up every season or more for avid cyclists. Regular drivetrain cleaning and lubrication goes a long way in extending your service window and component lifespan.
I'm a student and I'm doing a project...,We're happy to help! Send us an email and give us a few days notice and we will get back to you.
My bike was stolen what should I do?,Ugh! We seriously hate hearing this! Hopefully your bike was registered and you can report it stolen with the police. They really do a great job recovering stolen bikes that have been registered. If it wasn't we definitely recommend stopping by your local police station or we will register your bike at the shop for free and provide you with a license. Some people have had luck retrieving their stolen bikes by posting reward flyers or just by driving around town. Unfortunately bike theft is very common which is why at the very least we recommend a U-lock. Cable locks do not cut it in a city and we do not even stock them as an option in the store. Ask us how to properly lock up your bicycle to avoid theft!
What is your return policy?,Returns must be within 30 days of purchase with receipt and in original packaging. After 30 days store credit or exchange only. Used and consignment bike sales have a No refund or exchange policy. New bicycles are returnable for 30 days with original receipt. They must be unridden and in original and sellable condition. A 15% restocking fee of purchase total may be charged on all returns and any cancellations of special orders.
When can I drop off my bike for repair?,Drop your bike off for repair at any time during our open hours but keep in mind we may be busier during lunch or after work hours. We like to be thorough with our bike repair check in process but can also usually accommodate customers with emergency or extenuating service circumstances. Send us an email if it's after hours and we will do our best to get back to you ASAP.
Where should I ride?,Check out our new website or app for a few of our fave places.
